,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
120715,"State University, Sonoma",28152,66204,0,0,1586.4,0,0,,http://www.sonoma.edu/hr/,Sonoma,3172.8
81664,"State University, Sacramento",22879.56,38749.56,0,0,1384.2,0,0,,http://www.csus.edu/hr/,Sacramento,1384.2
111164,"State University, San Jose",22879.56,38749.56,0,0,2317,0,0,,http://www2.sjsu.edu/hr/,Santa Clara,2317
84821,"State University, San Bernardino",85188,150792,0,0,0,0,17109.6,2.00% @ 55,http://hrd.csusb.edu/,San Bernardino,100061.25
75572,"State University, Northridge",62340,88932,0,0,1023.79,0,23270.64,2.00% @ 60,http://www.csun.edu/hr,Los Angeles,63721.46
19685,"State University, Channel Islands",59076,131088,0,0,4549.6,0,1327.23,,http://www.csuci.edu/hr/employment.htm,Ventura ,23622.95
96346,"State University, San Diego",22879.56,38749.56,0,0,511.5,0,0,,http://bfa.sdsu.edu/hr/,San Diego,511.5
6352,"State Polytech University, San Luis Obispo",31200,53496,0,0,-47.58,0,7764.35,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.afd.calpoly.edu/hr/,San Luis Obispo,5738.32
76843,"State University, Sacramento",37380,65700,0,0,4313,0,9237.72,2.00% @ 62,http://www.csus.edu/hr/,Sacramento,46057
48790,"State University, Humboldt",22879.56,38749.56,0,0,0,0,0,,http://www.humboldt.edu/hsuhr/,Humboldt,3203.4
62571,"State University, Los Angeles",49512,66192,0,0,0,0,3316.06,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.calstatela.edu/hrm,Los Angeles,9566.4
4798,"State Polytech University, Pomona",22879.56,38749.56,0,0,847,0,0,,http://www.cpp.edu/~hr/index.shtml,Los Angeles,847
57859,"State University, Long Beach",22879.56,38749.56,0,0,1436.4,0,0,,http://daf.csulb.edu/offices/bhr/,Los Angeles,1436.4
79732,"State University, Sacramento",49512,66192,0,0,0,0,0,,http://www.csus.edu/hr/,Sacramento,19757.61
59945,"State University, Los Angeles",31200,53496,1.38,0,650,0,9237.72,2.00% @ 62,http://www.calstatela.edu/hrm,Los Angeles,34140.02
31936,"State University, East Bay",22879.56,38749.56,0,0,7208.25,0,0,,http://www.csueastbay.edu/af/departments/hr/,Alameda,7270.75
100284,"State University, San Francisco",14496,38028,0,0,7500,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.sfsu.edu/~hrwww/,San Francisco,7500
117489,"State University, Sonoma",59076,131088,0,0,0,0,17631.72,2.00% @ 62,http://www.sonoma.edu/hr/,Sonoma,65508.48
73001,"State University, Northridge",35880,62964,5307,0,650,0,23270.64,2.00% @ 62,http://www.csun.edu/hr,Los Angeles,44824.96
28361,"State University, Dominguez Hills",22879.56,38749.56,0,0,6130,0,0,,https://www.csudh.edu/hr/,Los Angeles,6262
9598,"State Polytech University, San Luis Obispo",28079.4,41432.76,0,0,0,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,378
109762,"State University, San Jose",77616,165516,0,0,0,0,10636.72,2.00% @ 55,http://www2.sjsu.edu/hr/,Santa Clara,84875.48
51596,"State University, Long Beach",92088,292068,0,31218.68,279.5,0,23270.64,2.00% @ 60,http://daf.csulb.edu/offices/bhr/,Los Angeles,201255.3
74554,"State University, Northridge",22879.56,38749.56,0,0,2849.8,0,0,,http://www.csun.edu/hr,Los Angeles,2849.8
99853,"State University, San Francisco",85188,150792,0,0,8233,0,9090.12,2.00% @ 55,http://www.sfsu.edu/~hrwww/,San Francisco,101266.16
53205,"State University, Long Beach",85188,150792,0,0,0,0,17631.72,2.00% @ 55,http://daf.csulb.edu/offices/bhr/,Los Angeles,98106.52
5011,"State Polytech University, Pomona",22879.56,38749.56,0,0,7752,0,0,,http://www.cpp.edu/~hr/index.shtml,Los Angeles,7752
22074,"State University, Chico",85188,150792,0,0,17475.6,0,22710.84,2.00% @ 55,http://www.csuchico.edu/hr/,Butte,118308.6
69024,"State University, Northridge",56124,70536,4968.91,0,0,0,23510.64,2.00% @ 62,http://www.csun.edu/hr,Los Angeles,59339.63
89936,"State University, San Diego",38688,67980,0,0,650,0,8125.56,2.00% @ 62,http://bfa.sdsu.edu/hr/,San Diego,44117.92
92725,"State University, San Diego",59076,131088,0,0,10080,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://bfa.sdsu.edu/hr/,San Diego,24705.32
62664,"State University, Los Angeles",49512,66192,0,0,0,0,0,2.00% @ 55,http://www.calstatela.edu/hrm,Los Angeles,5627
28114,"State University, Dominguez Hills",31200,52440,4163.96,0,1956.12,0,89.64,2.00% @ 55,https://www.csudh.edu/hr/,Los Angeles,46406.36
13624,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,22,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,22
110497,"State University, San Jose",22879.56,38749.56,0,0,3603.25,0,0,,http://www2.sjsu.edu/hr/,Santa Clara,3839.5
35145,"State University, Fresno",85188,150792,0,0,0,0,23270.64,2.00% @ 55,http://www.csufresno.edu/humres/,Fresno  ,109989.84
61161,"State University, Los Angeles",52464,125736,0,0,650,0,17631.72,2.00% @ 55,http://www.calstatela.edu/hrm,Los Angeles,71338.6
2953,"State Polytech University, Pomona",28079.4,41432.76,0,0,0,0,0,,http://www.cpp.edu/~hr/index.shtml,Los Angeles,942.5
